Data Hora;Nivel_Sensor(cm);Nivel_Display(cm);Chuva(mm);Chuva_Acum_Datalogger(mm);Temp_H2O;Press_Atm(mb);Temp_Int(C);Bateria(V);OffSet(cm)
51490500;17-04/2023 13:30:00;220.00;;0.00;;;;;;
51490500;17-04/2023 14:00:00;219.00;;0.00;;;;;;
51490500;17-04/2023 14:30:00;220.00;;0.00;;;;;;
51490500;17-04/2023 15:00:00;219.00;;0.00;;;;;;
51490500;17-04/2023 15:30:00;220.00;;0.00;;;;;;
51490500;17-04/2023 16:00:00;220.00;;0.00;;;;;;
51490500;17-04/2023 16:30:00;219.00;;0.00;;;;;;
51490500;17-04/2023 17:00:00;220.00;;0.00;;;;;;
51490500;17-04/2023 17:30:00;220.00;;0.00;;;;;;
51490500;17-04/2023 18:00:00;219.00;;0.00;;;;;;
51490500;17-04/2023 18:30:00;220.00;;0.00;;;;;;
51490500;17-04/2023 19:00:00;220.00;;0.00;;;;;;
51490500;17-04/2023 19:30:00;220.00;;0.00;;;;;;
51490500;17-04/2023 20:00:00;220.00;;0.00;;;;;;
51490500;17-04/2023 20:30:00;221.00;;0.00;;;;;;
51490500;17-04/2023 21:00:00;220.00;;0.00;;;;;;
51490500;17-04/2023 21:30:00;220.00;;0.00;;;;;;
51490500;17-04/2023 22:00:00;220.00;;0.00;;;;;;
51490500;17-04/2023 22:30:00;220.00;;0.00;;;;;;
51490500;17-04/2023 23:00:00;220.00;;0.00;;;;;;
51490500;17-04/2023 23:30:00;221.00;;0.00;;;;;;
51490500;18-04/2023 00:00:00;220.00;;0.00;;;;;;
51490500;18-04/2023 00:30:00;220.00;;0.00;;;;;;
51490500;18-04/2023 01:00:00;220.00;;0.00;;;;;;
51490500;18-04/2023 01:30:00;220.00;;0.00;;;;;;
51490500;18-04/2023 02:00:00;220.00;;0.00;;;;;;
51490500;18-04/2023 02:30:00;220.00;;0.00;;;;;;
51490500;18-04/2023 03:00:00;220.00;;0.00;;;;;;
51490500;18-04/2023 03:30:00;220.00;;0.00;;;;;;
51490500;18-04/2023 04:00:00;220.00;;0.00;;;;;;
51490500;18-04/2023 04:30:00;219.00;;0.00;;;;;;
51490500;18-04/2023 05:00:00;220.00;;0.00;;;;;;
51490500;18-04/2023 05:30:00;220.00;;0.00;;;;;;
51490500;18-04/2023 06:00:00;220.00;;0.00;;;;;;
51490500;18-04/2023 06:30:00;220.00;;0.00;;;;;;
51490500;18-04/2023 07:00:00;220.00;;0.00;;;;;;
51490500;18-04/2023 07:30:00;219.00;;0.00;;;;;;
51490500;18-04/2023 08:00:00;219.00;;0.00;;;;;;
51490500;18-04/2023 08:30:00;219.00;;0.00;;;;;;
51490500;18-04/2023 09:00:00;220.00;;0.00;;;;;;
51490500;18-04/2023 09:30:00;219.00;;0.00;;;;;;
51490500;18-04/2023 10:00:00;220.00;;0.00;;;;;;
51490500;18-04/2023 10:30:00;221.00;;0.00;;;;;;
51490500;18-04/2023 11:00:00;219.00;;0.00;;;;;;
51490500;18-04/2023 11:30:00;220.00;;0.00;;;;;;
51490500;18-04/2023 12:00:00;219.00;;0.00;;;;;;
51490500;18-04/2023 12:30:00;220.00;;0.00;;;;;;
