Data-Hora;Nivel_Sensor(cm);Nivel_Display(cm);Chuva(mm);Chuva_Acum_Datalogger(mm);Temp_H2O;Press_Atm(mb);Temp_Int(C);Bateria(V);OffSet(cm);vazao(m3_s)
01/10/2023 00:00:00;72.00;;0.00;;;;;;;9.38
01/10/2023 01:00:00;72.00;;0.00;;;;;;;9.38
01/10/2023 02:00:00;72.00;;0.00;;;;;;;9.38
01/10/2023 03:00:00;72.00;;0.00;;;;;;;9.38
01/10/2023 04:00:00;72.00;;0.00;;;;;;;9.38
01/10/2023 05:00:00;72.00;;0.00;;;;;;;9.38
01/10/2023 06:00:00;72.00;;0.00;;;;;;;9.38
01/10/2023 07:00:00;72.00;;0.00;;;;;;;9.38
01/10/2023 08:00:00;71.00;;0.00;;;;;;;9.13
01/10/2023 09:00:00;71.00;;0.00;;;;;;;9.13
01/10/2023 10:00:00;71.00;;0.00;;;;;;;9.13
01/10/2023 11:00:00;71.00;;0.00;;;;;;;9.13
01/10/2023 12:00:00;71.00;;0.00;;;;;;;9.13
01/10/2023 13:00:00;71.00;;0.00;;;;;;;9.13
01/10/2023 14:00:00;71.00;;0.00;;;;;;;9.13
01/10/2023 15:00:00;71.00;;0.00;;;;;;;9.13
01/10/2023 16:00:00;71.00;;0.19;;;;;;;9.13
01/10/2023 17:00:00;71.00;;0.40;;;;;;;9.13
01/10/2023 18:00:00;71.00;;0.00;;;;;;;9.13
01/10/2023 19:00:00;71.00;;0.00;;;;;;;9.13
01/10/2023 22:00:00;71.00;;;;;;;;;9.13
06/10/2023 15:00:00;90.00;;1.00;;;;;;;14.17
06/10/2023 16:00:00;90.00;;0.39;;;;;;;14.17
06/10/2023 17:00:00;91.00;;0.40;;;;;;;14.46
06/10/2023 18:00:00;91.00;;0.19;;;;;;;14.46
06/10/2023 19:00:00;91.00;;0.20;;;;;;;14.46
06/10/2023 21:00:00;91.00;;0.00;;;;;;;14.46
06/10/2023 23:00:00;91.00;;0.39;;;;;;;14.46
07/10/2023 00:00:00;91.00;;0.00;;;;;;;14.46
07/10/2023 01:00:00;91.00;;0.20;;;;;;;14.46
07/10/2023 02:00:00;91.00;;0.00;;;;;;;14.46
07/10/2023 03:00:00;91.00;;0.19;;;;;;;14.46
07/10/2023 04:00:00;91.00;;0.00;;;;;;;14.46
07/10/2023 05:00:00;91.00;;0.20;;;;;;;14.46
07/10/2023 06:00:00;91.00;;0.00;;;;;;;14.46
07/10/2023 07:00:00;92.00;;0.19;;;;;;;14.74
